"ap_number","ap_title","ap_text","success","partners","progress","achieved","hic_number","hic_label","hic_class","timeframe","level","Clarity required","timeframe_short","timeframe_medium","timeframe_long","ongoing","timeframe_js","level_individual","level_community","level_place","level_js"
1,"Integrated stop smoking services across the Local Maternity System","Integrated stop smoking services across the Sussex and East Surrey Local Maternity System","Maternity partners across the Sussex and East Surrey Local Maternity System work together to enhance integrated stop smoking support for mothers and families.","Local Maternity System","SES LMS Maternal Smoking meeting in July communicated effective models and maternal data systems to inform materniy smoking support and commissioning.  Exploring how integrated maternity opt-out model can be developed in West Sussex","Amber",1,"Working in partnership is the building block for success","working_partnership","M","I",,,"mediumterm",,,"mediumterm  ","individual",,,"individual  "
2,"Pilot project 'Actively Quitting' using physical activity as a diversion","Pilot project 'Actively Quitting' using physical activity as a diversion","Smokers will be referred from SSS to leisure provision","Wellbeing programme","Failed to recruit but hoping to utilise stop smoking service to recruit if possible","Red",1,"Working in partnership is the building block for success","working_partnership","S","I",,"shortterm",,,,"shortterm   ","individual",,,"individual  "
3,"Promote e-cigarettes as a safer and healthier alternative to smoking","Promote e-cigarettes as a safer and healthier alternative to smoking. Work with Public Health 'approved' Vape Shops to give vouchers to bed bound clients","Increase in number of bed bound smokers using E-cigs instead of cigarettes","Fire Service","Specialist home visiting staff always promote e-cigarettes as a safer alternative. The partnership work with Vape Shops forms part of the longer term aspirations as part of a three year plan. We are currently in year 1.","Green",1,"Working in partnership is the building block for success","working_partnership","L","I",,,,"longterm",,"longterm ","individual",,,"individual  "
4,"Greater sharing of intelligence to Trading Standards","Greater sharing of intelligence to Trading Standards","Increase of intel reports to Trading Standards","Trading Standards","There has been a 1% increase in intel reports","Green",2,"Gather and use the full range of data to inform tobacco control","gather_data","S","C/P",,"shortterm",,,,"shortterm   ",,"community","place","community place"
5,"Enhanced maternity dataset","Enhanced maternity dataset ensuring smoking status recorded for all pregnant women","All hospitals within the local LMS footprint collect and report data.","Local Maternity System","Prevention and data recommendations provided to SES LMS Dashboard to support development and improvement of prevention information within maternity dataset. Maternity services adapting to 2019 update to Better Births  maternal stop smoking procedure and data collection .All maternity services are capturing booking data but either failing NHS digital data quality or not submitting data for SATOD. This is largely an issue with mandatory fields within MIS and also training needs to raise profile of importance of discussing maternal smoking and accurate data reporting.","Amber",2,"Gather and use the full range of data to inform tobacco control","gather_data","L","I",,,,"longterm",,"longterm ","individual",,,"individual  "
6,"Improve data capturing from stop smoking services","Improve data capturing from stop smoking services","Improved data quality to understand service delivery and  targeting","Public Health","There is a new data monitoring form for GP practices and new pharmoutcomes template for pharmacies. More rigourous processes are also in place for monitoring data returns and incomplete data are being returned to be resubmitted.","Green",2,"Gather and use the full range of data to inform tobacco control","gather_data","S","I",,"shortterm",,,,"shortterm   ","individual",,,"individual  "
7,"Produce smoking cessation gap analysis and action plan","Produce smoking cessation gap analysis and action plan, based on NICE guidance (PH26) and CLeaR Assessment","Maternity systems demonstrate enhanced stop smoking support and pathways in line with NICE guidance and CLeaR Assessments","Local Maternity System","CLeaR Assessment completed 2018 WaSH catchment. All maternity services are now NICE compliant since Dec 2018 for CO testing. Maternity mandated training update provided to LMS. Prevntion group in June 2018.  Maternity leads Identifying/delivering actions to develop integrated maternal smoking support through training","Green",2,"Gather and use the full range of data to inform tobacco control","gather_data","M","C",,,"mediumterm",,,"mediumterm  ",,"community",,"community "
8,"Report the number of people signposted","Report on the number of people signposted to stop smoking services from wellbeing hubs","Awareness of local smoking population data collected and shared","Wellbeing programme","Smoking status recorded on database referred to community providers-  Stop smoking service soon to be in house.","Green",2,"Gather and use the full range of data to inform tobacco control","gather_data","S/M","C",,"shortterm","mediumterm",,,"shortterm mediumterm  ",,"community",,"community "
9,"Share data gathered from health MOTs","Share data gathered from health MOTs to show the number of people identified as smokers","Awareness of local smoking population data collected and shared","Wellbeing programme","Smoking status recorded on database referred to community providers-  Stop smoking service soon to be in house.","Green",2,"Gather and use the full range of data to inform tobacco control","gather_data","S","C",,"shortterm",,,,"shortterm   ",,"community",,"community "
10,"Smoking status recorded for all pregnant women","Smoking status of all pregnant women captured at time of booking and delivery (mandatory)","Accurate data recorded and shared","Maternity at Western Hospitals","Progress unknown","Progress unknown",2,"Gather and use the full range of data to inform tobacco control","gather_data","S","I",,"shortterm",,,,"shortterm   ","individual",,,"individual  "
11,"Quantify tobacco use by district, age ranges, and ethnicty","Quantify tobacco use by district, age ranges, and ethnicty","Health4Families will be able to target groups to allow appropriate health messages","Health4Families","Progress unknown","Progress unknown",2,"Gather and use the full range of data to inform tobacco control","gather_data","M","C","Q. Is this data you gather that can be shared with others? If so the action needs to change to read share.",,"mediumterm",,,"mediumterm  ",,"community",,"community "
12,"Refresh the Health Equity Audit for stop smoking services","Refresh the West Sussex Health Equit Audit for stop smoking services","Completed HEA used to inform service redseign","Public Health","This is due to start in 2020","Progress unknown",3,"Use tobacco control to tackle health inequalities","health_inequalities","M","c",,,"mediumterm",,,"mediumterm  ",,"community",,"community "
13,"Increase understanding of attitudes to smoking among Eastern Europeans","Increase local understanding of attitudes towards smoking among Eastern Europeans in West Sussex","Approriate interventions developed based on insight","Public Health","This is due to start in 2020","Progress unknown",3,"Use tobacco control to tackle health inequalities","health_inequalities","M","C",,,"mediumterm",,,"mediumterm  ",,"community",,"community "
14,"Support with smokefree prisons","Support  Ministry of Justice and Public Health England with smokefree prisons","Improved pathway for those being released from prison to support their smoking cessation","Public Health","This is due to start in 2020","Progress unknown",3,"Use tobacco control to tackle health inequalities","health_inequalities","L","C",,,,"longterm",,"longterm ",,"community",,"community "
15,"Health4Families targetting tobacco related activity","Target Health4Families tobacco related activity at young parents in areas of deprivation","Increase of young parents/people from deprived wards engaging with SSS","Health4Families","Progress unknown","Progress unknown",3,"Use tobacco control to tackle health inequalities","health_inequalities","M","C",,,"mediumterm",,,"mediumterm  ",,"community",,"community "
16,"Offer targetted workplace health (WPH) services","Target businesses in deprived areas to offer workplace health (WPH) services","Increase in the number of smokers accessing SSS from workplaces deprived areas","Wellbeing programme","Been to smaller businesses such as Worthing, garages, Dome","Green",3,"Use tobacco control to tackle health inequalities","health_inequalities","S/M","C",,"shortterm","mediumterm",,,"shortterm mediumterm  ",,"community",,"community "
17,"Improving links between prisons and community stop smoking services","Build on national smokefree prisons programme by improving links with the community stop smoking services","A pathway to support those being released from prison estate to continue their stop smoking attempt","Prisons","This has not started yet","Red",3,"Use tobacco control to tackle health inequalities","health_inequalities","M","C",,,"mediumterm",,,"mediumterm  ",,"community",,"community "
18,"Use 'Actively Quitting' pilot to target disadvantaged wards","Use 'Actively Quitting' pilot to target disadvantaged wards","Smokers from disadvantaged wards will be referred from SSS to leisure provision","Wellbeing programme","One element done. Going to Mosque in Broadfield","Amber",3,"Use tobacco control to tackle health inequalities","health_inequalities","S","C",,"shortterm",,,,"shortterm   ",,"community",,"community "
19,"Uptake of stop smoking services among substance misuse service users","Work with substance misuse services to improve uptake of stop smoking services by service users","Improved pathway for those accesing substance misuse services to support their smoking cessation","Public Health","This is due to start in 2020","Progress unknown",3,"Use tobacco control to tackle health inequalities","health_inequalities","M","I",,,"mediumterm",,,"mediumterm  ","individual",,,"individual  "
20,"Hold stop smoking surgeries in targetted community locations","Hold stop smoking surgeries in community locations, specifically in disadvantaged wards","Increase in the number of smokers accessing stop smoking services from deprived areas","Wellbeing programme, Primary Care. IPEH Hubs, Voluntary Sectore Organisations, District & Boroughs, Public Health","Focus on  districts where prevalence is higher or number of prvoders lower. In addition to Wellbeing Hub providers being established in these areas, four additional community providers have also been established since the start of the year.","Green",3,"Use tobacco control to tackle health inequalities","health_inequalities","S/M/L","I",,"shortterm","mediumterm","longterm","ongoing","shortterm mediumterm longterm ongoing","individual",,,"individual  "
